PlotNumber,PlotId,Parameter, Year, Range
06,SEG06,rH_200, 2009,01-05
10,SEG10,rH_200, 2009,06
14,SEG14,rH_200, 2009,04
21,SEG21,rH_200, 2009,03-04
22,SEG22,rH_200, 2009,06
43,SEG43,rH_200, 2009,03-05
49,SEG49,rH_200, 2009,06-07
04,SEG04,rH_200, 2011,02-12
35,SEG35,rH_200, 2011,01-10
43,SEG43,rH_200, 2011,08-10
03,SEG03,rH_200, 2012,11-12
18,SEG18,rH_200, 2012,02-03
19,SEG19,rH_200, 2012,09-10
20,SEG20,rH_200, 2012,06
21,SEG21,rH_200, 2012,10
22,SEG22,rH_200, 2012,06-07
28,SEG28,rH_200, 2012,04-08
29,SEG29,rH_200, 2012,08
35,SEG35,rH_200, 2012,09-12
36,SEG36,rH_200, 2012,05
42,SEG42,rH_200, 2012,01-05
47,SEG47,rH_200, 2012,08-10
04,SEG04,Ta_10, 2009,01
08,SEG08,Ta_10, 2009,03-04
16,SEG16,Ta_10, 2009,03-04
16,SEG16,Ta_10, 2009,07
27,SEG27,Ta_10, 2009,04
35,SEG35,Ta_10, 2009,10
48,SEG48,Ta_10, 2009,06
49,SEG49,Ta_10, 2009,06-07
11,SEG11,Ta_10, 2010,01-12
16,SEG16,Ta_10, 2010,03-12
27,SEG27,Ta_10, 2010,01-12
43,SEG43,Ta_10, 2010,09-12
35,SEG35,Ta_10, 2011,10-11
43,SEG43,Ta_10, 2011,01-12
32,SEG32,Ta_10, 2012,01-12
43,SEG43,Ta_10, 2012,01-04
32,SEG32,Ta_200, 2009,01-02
33,SEG33,Ta_200, 2009,01-03
43,SEG43,Ta_200, 2009,03-05
35,SEG35,Ta_200, 2011,01-12
43,SEG43,Ta_200, 2011,09-11
04,SEG04,Ts_5, 2009,01-02
08,SEG08,Ts_5, 2009,03-04
09,SEG09,Ts_5, 2009,01-03
15,SEG15,Ts_5, 2009,01-03
15,SEG15,Ts_5, 2009,10-12
16,SEG16,Ts_5, 2009,03-09
25,SEG25,Ts_5, 2009,05
27,SEG27,Ts_5, 2009,04
35,SEG35,Ts_5, 2009,09-12
36,SEG36,Ts_5, 2009,01-03
40,SEG40,Ts_5, 2009,07
46,SEG46,Ts_5, 2009,07-12
08,SEG08,Ts_5, 2010,01-12
11,SEG11,Ts_5, 2010,01-12
16,SEG16,Ts_5, 2010,04-11
17,SEG17,Ts_5, 2010,01-03
27,SEG27,Ts_5, 2010,01-12
42,SEG42,Ts_5, 2010,01-02
45,SEG45,Ts_5, 2010,01-02
28,SEG28,Ts_5, 2011,04-10
07,SEG07,Ts_5, 2012,12
03,SEG03,Ts_10, 2009,01-05
04,SEG04,Ts_10, 2009,01-02
05,SEG05,Ts_10, 2009,02-03
08,SEG08,Ts_10, 2009,01-04
09,SEG09,Ts_10, 2009,10-12
11,SEG11,Ts_10, 2009,01-05
14,SEG14,Ts_10, 2009,01-03
15,SEG15,Ts_10, 2009,01-03
16,SEG16,Ts_10, 2009,03-07
19,SEG19,Ts_10, 2009,06-12
24,SEG24,Ts_10, 2009,12
25,SEG25,Ts_10, 2009,02
25,SEG25,Ts_10, 2009,05
26,SEG26,Ts_10, 2009,01-03
27,SEG27,Ts_10, 2009,01-04
31,SEG31,Ts_10, 2009,12
35,SEG35,Ts_10, 2009,09-12
36,SEG36,Ts_10, 2009,01-03
40,SEG40,Ts_10, 2009,07
46,SEG46,Ts_10, 2009,07-12
02,SEG02,Ts_10, 2010,01
05,SEG05,Ts_10, 2010,01
05,SEG05,Ts_10, 2010,10-12
08,SEG08,Ts_10, 2010,01-05
11,SEG11,Ts_10, 2010,01-12
13,SEG13,Ts_10, 2010,01
15,SEG15,Ts_10, 2010,01-12
17,SEG17,Ts_10, 2010,01-03
23,SEG23,Ts_10, 2010,01
26,SEG26,Ts_10, 2010,03-12
27,SEG27,Ts_10, 2010,01-12
32,SEG32,Ts_10, 2010,01
33,SEG33,Ts_10, 2010,01
36,SEG36,Ts_10, 2010,01
37,SEG37,Ts_10, 2010,01
38,SEG38,Ts_10, 2010,01
39,SEG39,Ts_10, 2010,01
40,SEG40,Ts_10, 2010,01
40,SEG40,Ts_10, 2010,06-08
42,SEG42,Ts_10, 2010,01
43,SEG43,Ts_10, 2010,01
43,SEG43,Ts_10, 2010,09-12
44,SEG44,Ts_10, 2010,01
45,SEG45,Ts_10, 2010,01
49,SEG49,Ts_10, 2010,01
50,SEG50,Ts_10, 2010,01
28,SEG28,Ts_10, 2011,04-12
12,SEG12,Ts_10, 2012,01-02
12,SEG12,Ts_10, 2012,11-12
02,SEG02,Ts_20, 2009,08-12
03,SEG03,Ts_20, 2009,03-05
04,SEG04,Ts_20, 2009,01-02
05,SEG05,Ts_20, 2009,03-04
06,SEG06,Ts_20, 2009,03-04
08,SEG08,Ts_20, 2009,01-04
10,SEG10,Ts_20, 2009,01-03
10,SEG10,Ts_20, 2009,09-10
11,SEG11,Ts_20, 2009,01-05
14,SEG14,Ts_20, 2009,01-04
15,SEG15,Ts_20, 2009,01-12
16,SEG16,Ts_20, 2009,01-08
17,SEG17,Ts_20, 2009,09-12
19,SEG19,Ts_20, 2009,06-12
20,SEG20,Ts_20, 2009,01-04
21,SEG21,Ts_20, 2009,03
22,SEG22,Ts_20, 2009,10-12
23,SEG23,Ts_20, 2009,12
24,SEG24,Ts_20, 2009,09-12
25,SEG25,Ts_20, 2009,01-03
26,SEG26,Ts_20, 2009,01-12
27,SEG27,Ts_20, 2009,03-04
27,SEG27,Ts_20, 2009,12
29,SEG29,Ts_20, 2009,10-12
30,SEG30,Ts_20, 2009,01-03
35,SEG35,Ts_20, 2009,10-12
36,SEG36,Ts_20, 2009,01-03
38,SEG38,Ts_20, 2009,01-03
40,SEG40,Ts_20, 2009,07
46,SEG46,Ts_20, 2009,06-12
50,SEG50,Ts_20, 2009,01-02
02,SEG02,Ts_20, 2010,10-12
05,SEG05,Ts_20, 2010,09-12
06,SEG06,Ts_20, 2010,10-12
07,SEG07,Ts_20, 2010,12
08,SEG08,Ts_20, 2010,02-12
11,SEG11,Ts_20, 2010,01-12
16,SEG16,Ts_20, 2010,03-12
17,SEG17,Ts_20, 2010,01-03
22,SEG22,Ts_20, 2010,11-12
23,SEG23,Ts_20, 2010,10-12
26,SEG26,Ts_20, 2010,01-12
27,SEG27,Ts_20, 2010,01-12
42,SEG42,Ts_20, 2010,01-03
43,SEG43,Ts_20, 2010,09-12
45,SEG45,Ts_20, 2010,10-12
04,SEG04,Ts_20, 2011,12
06,SEG06,Ts_20, 2011,12
12,SEG12,Ts_20, 2011,12
23,SEG23,Ts_20, 2011,12
28,SEG28,Ts_20, 2011,04-12
35,SEG35,Ts_20, 2011,01-12
43,SEG43,Ts_20, 2011,01-12
50,SEG50,Ts_20, 2011,01
06,SEG06,Ts_20, 2012,05
07,SEG07,Ts_20, 2012,01-03
07,SEG07,Ts_20, 2012,11-12
11,SEG11,Ts_20, 2012,11
12,SEG12,Ts_20, 2012,01-03
12,SEG12,Ts_20, 2012,11-12
22,SEG22,Ts_20, 2012,01
23,SEG23,Ts_20, 2012,01
28,SEG28,Ts_20, 2012,10-12
29,SEG29,Ts_20, 2012,01
42,SEG42,Ts_20, 2012,01-04
01,SEG01,Ts_50, 2009,02
01,SEG01,Ts_50, 2009,10-12
02,SEG02,Ts_50, 2009,04
02,SEG02,Ts_50, 2009,08-12
03,SEG03,Ts_50, 2009,01-05
04,SEG04,Ts_50, 2009,01-02
05,SEG05,Ts_50, 2009,03
07,SEG07,Ts_50, 2009,04
08,SEG08,Ts_50, 2009,01-04
09,SEG09,Ts_50, 2009,04
10,SEG10,Ts_50, 2009,12
11,SEG11,Ts_50, 2009,05
12,SEG12,Ts_50, 2009,04
13,SEG13,Ts_50, 2009,04
14,SEG14,Ts_50, 2009,01-04
15,SEG15,Ts_50, 2009,03
15,SEG15,Ts_50, 2009,08-12
16,SEG16,Ts_50, 2009,01-09
17,SEG17,Ts_50, 2009,01-12
18,SEG18,Ts_50, 2009,03
19,SEG19,Ts_50, 2009,01-12
20,SEG20,Ts_50, 2009,01-04
22,SEG22,Ts_50, 2009,04
22,SEG22,Ts_50, 2009,07-12
23,SEG23,Ts_50, 2009,04
24,SEG24,Ts_50, 2009,03-04
25,SEG25,Ts_50, 2009,03-05
26,SEG26,Ts_50, 2009,01-03
27,SEG27,Ts_50, 2009,03-04
29,SEG29,Ts_50, 2009,03-04
30,SEG30,Ts_50, 2009,03-04
30,SEG30,Ts_50, 2009,07-12
31,SEG31,Ts_50, 2009,03-04
31,SEG31,Ts_50, 2009,12
33,SEG33,Ts_50, 2009,08
34,SEG34,Ts_50, 2009,04
35,SEG35,Ts_50, 2009,09-12
