PlotNumber,PlotId,Parameter, Year, Range
36,SEG36,Ts_50, 2009,01-04
38,SEG38,Ts_50, 2009,01-04
39,SEG39,Ts_50, 2009,01-03
40,SEG40,Ts_50, 2009,07-09
45,SEG45,Ts_50, 2009,12
46,SEG46,Ts_50, 2009,01-04
47,SEG47,Ts_50, 2009,03-04
47,SEG47,Ts_50, 2009,08
48,SEG48,Ts_50, 2009,06-12
49,SEG49,Ts_50, 2009,01-02
50,SEG50,Ts_50, 2009,03
02,SEG02,Ts_50, 2010,11-12
05,SEG05,Ts_50, 2010,02
05,SEG05,Ts_50, 2010,06-12
06,SEG06,Ts_50, 2010,07
08,SEG08,Ts_50, 2010,01-12
11,SEG11,Ts_50, 2010,01-12
12,SEG12,Ts_50, 2010,01-12
13,SEG13,Ts_50, 2010,07-12
16,SEG16,Ts_50, 2010,01-12
17,SEG17,Ts_50, 2010,01-03
21,SEG21,Ts_50, 2010,03-04
22,SEG22,Ts_50, 2010,08
22,SEG22,Ts_50, 2010,11-12
23,SEG23,Ts_50, 2010,02
23,SEG23,Ts_50, 2010,09-12
25,SEG25,Ts_50, 2010,06-12
27,SEG27,Ts_50, 2010,01-12
28,SEG28,Ts_50, 2010,02
32,SEG32,Ts_50, 2010,01-09
37,SEG37,Ts_50, 2010,06-12
42,SEG42,Ts_50, 2010,10-12
43,SEG43,Ts_50, 2010,07-09
44,SEG44,Ts_50, 2010,10-12
45,SEG45,Ts_50, 2010,08-12
47,SEG47,Ts_50, 2010,04-12
04,SEG04,Ts_50, 2011,12
06,SEG06,Ts_50, 2011,06
07,SEG07,Ts_50, 2011,12
12,SEG12,Ts_50, 2011,12
13,SEG13,Ts_50, 2011,07-12
18,SEG18,Ts_50, 2011,12
21,SEG21,Ts_50, 2011,12
22,SEG22,Ts_50, 2011,01
23,SEG23,Ts_50, 2011,12
25,SEG25,Ts_50, 2011,01-12
28,SEG28,Ts_50, 2011,04-12
29,SEG29,Ts_50, 2011,09-12
32,SEG32,Ts_50, 2011,01
32,SEG32,Ts_50, 2011,12
33,SEG33,Ts_50, 2011,12
35,SEG35,Ts_50, 2011,01-12
36,SEG36,Ts_50, 2011,09
38,SEG38,Ts_50, 2011,05
40,SEG40,Ts_50, 2011,12
43,SEG43,Ts_50, 2011,07-12
49,SEG49,Ts_50, 2011,12
50,SEG50,Ts_50, 2011,12
04,SEG04,Ts_50, 2012,01-02
07,SEG07,Ts_50, 2012,01-04
10,SEG10,Ts_50, 2012,01-05
12,SEG12,Ts_50, 2012,01-03
12,SEG12,Ts_50, 2012,11-12
23,SEG23,Ts_50, 2012,07-12
31,SEG31,Ts_50, 2012,01-12
33,SEG33,Ts_50, 2012,04-09
37,SEG37,Ts_50, 2012,01-03
38,SEG38,Ts_50, 2012,02-06
39,SEG39,Ts_50, 2012,01-03
42,SEG42,Ts_50, 2012,01-07
45,SEG45,Ts_50, 2012,12
46,SEG46,Ts_50, 2012,01-03
49,SEG49,Ts_50, 2012,05-06
